File: api-linux
Build ID: 928b80bcfe978921b8133a95ba318310d86fc329
Type: cpu
Time: 2026-09-08 18:06:55 CST
Duration: 20s, Total samples = 11.67s (58.35%)
Showing nodes accounting for 7.60s, 65.12% of 11.67s total
Dropped 636 nodes (cum <= 0.06s)
Showing top 20 nodes out of 322
      flat  flat%   sum%        cum   cum%
        4s 34.28% 34.28%         4s 34.28%  internal/runtime/syscall/linux.Syscall6
     2.57s 22.02% 56.30%      2.57s 22.02%  runtime.futex
     0.12s  1.03% 57.33%      0.31s  2.66%  runtime.stealWork
     0.10s  0.86% 58.18%      0.10s  0.86%  runtime.usleep
     0.09s  0.77% 58.95%      0.09s  0.77%  runtime.write1
     0.08s  0.69% 59.64%      0.43s  3.68%  runtime.mallocgc
     0.08s  0.69% 60.33%      0.09s  0.77%  runtime.mallocgcSmallScanNoHeaderSC5
     0.06s  0.51% 60.84%      0.06s  0.51%  runtime.memmove
     0.05s  0.43% 61.27%      0.10s  0.86%  runtime.(*mcache).prepareForSweep
     0.05s  0.43% 61.70%      2.77s 23.74%  runtime.findRunnable
     0.05s  0.43% 62.13%      0.20s  1.71%  runtime.lock2
     0.05s  0.43% 62.55%      0.12s  1.03%  runtime.pcvalue
     0.05s  0.43% 62.98%      0.34s  2.91%  runtime.selectgo
     0.04s  0.34% 63.32%      1.86s 15.94%  github.com/go-sql-driver/mysql.(*mysqlConn).exec
     0.04s  0.34% 63.67%      1.06s  9.08%  internal/poll.(*FD).Read
     0.04s  0.34% 64.01%      0.08s  0.69%  runtime.newobject
     0.04s  0.34% 64.35%      0.06s  0.51%  runtime.step
     0.03s  0.26% 64.61%      1.09s  9.34%  net.(*conn).Read
     0.03s  0.26% 64.87%      0.08s  0.69%  runtime.(*unwinder).resolveInternal
     0.03s  0.26% 65.12%      0.06s  0.51%  runtime.chanrecv
