procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 3  1      0 12600300 695588 1105952    0    0     0 19552 42754 73660 15 12 64  9  0  0 2026-09-08 15:08:28
 2  2      0 12598620 697024 1106996    0    0     0 19576 43242 74225 16 13 62  9  0  0 2026-09-08 15:08:29
 4  1      0 12594880 698384 1108212    0    0     0 19356 42280 72952 15 13 62  9  0  0 2026-09-08 15:08:30
 3  1      0 12591724 699804 1110372    0    0     0 19504 41605 71910 15 12 64  9  0  0 2026-09-08 15:08:31
 1  2      0 12584772 701316 1115796    0    0     0 24200 42537 73390 13 12 66  9  0  0 2026-09-08 15:08:32
 0  1      0 12580232 702680 1116960    0    0     0 19512 42214 72827 14 12 64 10  0  0 2026-09-08 15:08:33
 1  1      0 12579064 704216 1118180    0    0     0 20696 42732 73489 12 12 66  9  0  0 2026-09-08 15:08:34
 0  1      0 12576004 705860 1119388    0    0     0 20252 41632 71646 13 10 68  9  0  0 2026-09-08 15:08:35
 2  1      0 12570788 707352 1120680    0    0     0 20536 41620 71430 13 12 66  9  0  0 2026-09-08 15:08:36
 7  1      0 12567096 708580 1121856    0    0     0 19856 42945 73614 14 13 65  9  0  0 2026-09-08 15:08:37
 4  1      0 12565488 710028 1123052    0    0     0 20068 43425 74892 13 11 66  9  0  0 2026-09-08 15:08:38
 5  1      0 12562588 711624 1125348    0    0     0 21756 42461 72990 13 11 67  9  0  0 2026-09-08 15:08:39
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  1      0 12557984 713120 1126600    0    0     0 20476 41576 71430 12 12 66 10  0  0 2026-09-08 15:08:40
 0  1      0 12552504 714672 1128980    0    0     0 22344 44458 76824 14 11 66  9  0  0 2026-09-08 15:08:41
 2  2      0 12550260 716112 1130164    0    0     0 21560 42497 73189 13 13 65 10  0  0 2026-09-08 15:08:42
 1  2      0 12543396 717612 1136096    0    0     4 24992 42328 72866 13 13 65  9  0  0 2026-09-08 15:08:43
 5  0      0 12541828 719276 1136964    0    0     0 19968 42800 73713 12 12 66  9  0  0 2026-09-08 15:08:44
 0  1      0 12539584 720896 1137712    0    0     0 19884 42700 73979 12 12 67  9  0  0 2026-09-08 15:08:45
 2  1      0 12531940 722568 1139612    0    0    16 20276 42491 73184 13 12 65  9  0  0 2026-09-08 15:08:46
 3  2      0 12526228 724104 1144508    0    0     0 22684 40616 69705 11 12 68  9  0  0 2026-09-08 15:08:47
 0  1      0 12524180 725400 1145304    0    0     0 18524 41831 72375 12 11 68  9  0  0 2026-09-08 15:08:48
 1  1      0 12523440 726012 1146032    0    0     0 19168 40469 69562 10 11 70  9  0  0 2026-09-08 15:08:49
 1  1      0 12523312 726656 1146752    0    0     0 18476 40768 70168 11 11 69  9  0  0 2026-09-08 15:08:50
 5  1      0 12522728 727228 1147340    0    0     0 18852 37481 64816 11 10 70  9  0  0 2026-09-08 15:08:51
 2  1      0 12517348 727908 1153188    0    0  2896 23004 39848 68182 12 11 67 10  0  0 2026-09-08 15:08:52
 1  0      0 12608796 728480 1124060    0    0     0 18404 33008 56265 10  9 72  9  0  0 2026-09-08 15:08:53
 3  0      0 12507328 728752 1124228    0    0     0 11748 14967 23751 13  9 74  4  0  0 2026-09-08 15:08:54
 0  1      0 12549828 729068 1124340    0    0     0 11484 11699 17997  7  6 81  5  0  0 2026-09-08 15:08:55
 0  0      0 12549844 729312 1124488    0    0     0 10376 36616 67517  4  9 83  4  0  0 2026-09-08 15:08:56
 0  1      0 12569068 729648 1124652    0    0     0 10692 35917 65736  4  9 82  5  0  0 2026-09-08 15:08:57
 0  0      0 12573928 729904 1124808    0    0     0 10544 9435 14256  1  2 91  5  0  0 2026-09-08 15:08:58
 0  0      0 12578508 730208 1124948    0    0     0 10024 8475 12517  1  3 92  5  0  0 2026-09-08 15:08:59
 0  0      0 12582320 730472 1125088    0    0     0  9672 8235 12230  1  2 92  5  0  0 2026-09-08 15:09:00
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  0      0 12587020 730724 1125232    0    0     0  9328 7948 11760  1  2 91  5  0  0 2026-09-08 15:09:01
 0  0      0 12590428 731008 1125376    0    0     0  8776 8363 12208  2  3 91  4  0  0 2026-09-08 15:09:02
 0  0      0 12593428 731224 1125516    0    0     0  7824 7882 11528  1  2 93  4  0  0 2026-09-08 15:09:03
 0  0      0 12595740 731404 1125656    0    0     0  7284 7886 11520  2  3 92  4  0  0 2026-09-08 15:09:04
 1  0      0 12597292 731576 1125796    0    0     0  6780 7584 11231  1  2 93  4  0  0 2026-09-08 15:09:05
 0  0      0 12599108 731792 1125936    0    0     0  6680 7806 11435  1  2 93  4  0  0 2026-09-08 15:09:06
 0  0      0 12601644 731992 1126036    0    0     0  6476 7598 11092  1  2 93  3  0  0 2026-09-08 15:09:07
 0  0      0 12603360 732144 1126212    0    0     0  6148 7528 10987  1  2 94  3  0  0 2026-09-08 15:09:08
 0  0      0 12604464 732284 1126352    0    0     0  5904 7599 11128  1  3 92  4  0  0 2026-09-08 15:09:09
 0  0      0 12605448 732488 1126496    0    0     0  5568 7272 10629  1  2 93  3  0  0 2026-09-08 15:09:10
 0  0      0 12606180 732672 1126592    0    0     0  5656 7367 10916  1  3 93  4  0  0 2026-09-08 15:09:11
 0  0      0 12606372 732912 1126764    0    0     0  5464 7115 10426  1  2 93  3  0  0 2026-09-08 15:09:12
 0  0      0 12606456 733088 1126908    0    0     0  5372 6781 10149  1  2 93  3  0  0 2026-09-08 15:09:13
 0  0      0 12606448 733264 1127052    0    0     0  5992 7037 10487  1  2 94  3  0  0 2026-09-08 15:09:14
 0  0      0 12606448 733448 1127164    0    0     0  5612 6856 10145  1  2 94  3  0  0 2026-09-08 15:09:15
 0  0      0 12606196 733640 1127304    0    0     0  5636 7369 10756  1  3 93  3  0  0 2026-09-08 15:09:16
 0  0      0 12606188 733804 1127472    0    0     0  5556 6997 10403  1  2 94  3  0  0 2026-09-08 15:09:17
 2  0      0 12606168 734052 1127612    0    0     0  5468 6972 10383  1  2 93  3  0  0 2026-09-08 15:09:18
 0  0      0 12605944 734176 1127756    0    0     0  6196 7237 10817  1  2 93  3  0  0 2026-09-08 15:09:19
 0  0      0 12605872 734308 1127860    0    0     0  5652 6924 10106  1  1 95  3  0  0 2026-09-08 15:09:20
 0  0      0 12605456 734540 1128032    0    0     0  5424 6717 10070  1  2 95  3  0  0 2026-09-08 15:09:21
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  0      0 12604700 734692 1128176    0    0     0  5680 6752 10097  1  2 94  3  0  0 2026-09-08 15:09:22
 0  0      0 12604948 734840 1128264    0    0     0  5476 6761 10083  1  2 94  3  0  0 2026-09-08 15:09:23
 0  0      0 12604692 735004 1128380    0    0     0  5532 6865 10425  1  2 94  3  0  0 2026-09-08 15:09:24
 0  0      0 12604440 735208 1128596    0    0     0  6196 6756 10099  1  2 94  3  0  0 2026-09-08 15:09:25
 0  0      0 12604188 735412 1128736    0    0     0  5628 6499 9747  1  2 95  2  0  0 2026-09-08 15:09:26
 0  0      0 12603896 735564 1128876    0    0     0  5560 7014 10287  2  3 93  3  0  0 2026-09-08 15:09:27
 1  0      0 12830408 735796 868812    0    0   492  6248 15278 23597  6  7 83  4  0  0 2026-09-08 15:09:28
 0  0      0 12750296 735948 868880    0    0     4  4224 7987 11551 12  5 81  2  0  0 2026-09-08 15:09:29
 4  0      0 12786364 736020 868876    0    0     0  3404 9723 14870 10  6 82  1  0  0 2026-09-08 15:09:30
 1  0      0 12846012 736064 868940    0    0     0  7520 8022 11825  7  5 86  2  0  0 2026-09-08 15:09:31
 2  0      0 12720636 736104 868940    0    0     0  3200 9525 14112 14  7 78  1  0  0 2026-09-08 15:09:32
 1  0      0 12824784 736140 861796    0    0     0   352 4223 5421  2  2 96  1  0  0 2026-09-08 15:09:33
 0  0      0 12829036 736192 861796    0    0     0   344 2927 3474  0  1 98  0  0  0 2026-09-08 15:09:34
 0  0      0 12830416 736232 861796    0    0     0   264 2850 3380  0  1 98  1  0  0 2026-09-08 15:09:35
 0  0      0 12838784 736268 861796    0    0     0   264 2793 3337  0  1 99  0  0  0 2026-09-08 15:09:36
 0  0      0 12846520 736304 861796    0    0     0   216 2519 2941  0  1 98  1  0  0 2026-09-08 15:09:37
 0  0      0 12853124 736328 861796    0    0     0   208 2488 2946  0  1 99  0  0  0 2026-09-08 15:09:38
 0  1      0 12858440 736348 861796    0    0     0   396 2746 3248  0  1 98  1  0  0 2026-09-08 15:09:39
 0  0      0 12865032 736368 861796    0    0     0   232 2487 2873  0  1 99  0  0  0 2026-09-08 15:09:40
 0  0      0 12871720 736408 861800    0    0     0   232 2544 2953  0  1 99  0  0  0 2026-09-08 15:09:41
 0  0      0 12877024 736432 861800    0    0     0   196 2461 2832  0  1 98  0  0  0 2026-09-08 15:09:42
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  1      0 12881560 736452 861800    0    0     0   232 2596 3022  0  1 99  0  0  0 2026-09-08 15:09:43
 0  0      0 12884976 736460 861800    0    0     0   272 2528 3004  0  0 99  0  0  0 2026-09-08 15:09:44
 0  0      0 12888192 736492 861800    0    0     0   216 2483 2890  0  1 99  0  0  0 2026-09-08 15:09:45
 0  0      0 12890648 736532 861784    0    0     0   216 2505 2899  0  1 99  0  0  0 2026-09-08 15:09:46
 0  0      0 12894984 736544 861800    0    0     0   216 2469 2900  0  0 99  0  0  0 2026-09-08 15:09:47
 0  0      0 12898696 736544 861800    0    0     0   248 2687 3196  0  1 99  0  0  0 2026-09-08 15:09:48
 0  1      0 12901768 736560 861800    0    0     0   344 2773 3324  0  1 99  0  0  0 2026-09-08 15:09:49
 0  1      0 12904460 736600 861780    0    0     0   264 2708 3236  0  1 99  0  0  0 2026-09-08 15:09:50
 0  0      0 12906752 736648 861800    0    0     0   248 2807 3295  0  1 99  0  0  0 2026-09-08 15:09:51
 1  0      0 12908336 736660 861800    0    0     0   268 2670 3282  0  0 99  0  0  0 2026-09-08 15:09:52
 0  0      0 12909756 736664 861800    0    0     0  1700 2792 3334  0  1 99  0  0  0 2026-09-08 15:09:53
 0  0      0 12911488 736684 861780    0    0     0   344 2847 3443  0  1 99  0  0  0 2026-09-08 15:09:54
 2  0      0 12911764 736712 861800    0    0     0   264 2701 3273  0  1 99  0  0  0 2026-09-08 15:09:55
 0  0      0 12911764 736756 861800    0    0     0   280 2819 3396  0  0 99  0  0  0 2026-09-08 15:09:56
 0  0      0 12911764 736756 861800    0    0     0   272 2779 3304  0  0 99  0  0  0 2026-09-08 15:09:57
 0  0      0 12911764 736776 861788    0    0     0   360 2788 3334  0  1 99  0  0  0 2026-09-08 15:09:58
 0  0      0 12911756 736816 861792    0    0     0   344 2952 3505  0  1 99  0  0  0 2026-09-08 15:09:59
 0  0      0 12911756 736852 861800    0    0     0   264 2787 3319  0  1 99  0  0  0 2026-09-08 15:10:00
 0  0      0 12915380 736884 861792    0    0     0   264 2890 3378  0  2 97  0  0  0 2026-09-08 15:10:01
 0  0      0 12911756 736884 861808    0    0     0   264 3034 3590  0  1 98  1  0  0 2026-09-08 15:10:02
 0  0      0 12912156 736884 861808    0    0     0   276 2841 3444  0  1 99  0  0  0 2026-09-08 15:10:03
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  0      0 12912156 736908 861800    0    0     0   336 2995 3555  0  1 99  1  0  0 2026-09-08 15:10:05
 1  0      0 12910644 736964 861796    0    0     0   268 2791 3428  0  1 99  0  0  0 2026-09-08 15:10:06
 0  1      0 12902600 737512 870520    0    0  1088 12116 12552 19452  1  3 89  7  0  0 2026-09-08 15:10:07
 2  0      0 12862288 737740 871020    0    0     0  6516 10614 16211  3  5 88  4  0  0 2026-09-08 15:10:08
 0  1      0 12770736 737864 871040    0    0     0  3840 9258 13598 15  7 76  2  0  0 2026-09-08 15:10:09
 1  0      0 12832028 737964 871088    0    0     0  3160 8950 13221  8  6 84  2  0  0 2026-09-08 15:10:10
 1  0      0 12879876 738128 871132    0    0     0  7984 7836 11090 10  5 82  3  0  0 2026-09-08 15:10:11
 0  1      0 12810492 738280 892720    0    0     4  1564 19473 29857  2  7 90  2  0  0 2026-09-08 15:10:12
 1  0      0 12810252 738868 892760    0    0     0  7728 13622 21769  1  4 88  7  0  0 2026-09-08 15:10:13
 0  1      0 12808012 739420 892920    0    0     0  8132 13530 21566  1  4 88  7  0  0 2026-09-08 15:10:14
 1  0      0 12807552 740008 893004    0    0     0  7708 12525 19829  1  3 88  7  0  0 2026-09-08 15:10:15
 0  0      0 12806764 740636 893180    0    0     0  8396 13185 21441  1  4 88  7  0  0 2026-09-08 15:10:16
 0  1      0 12804508 741260 893324    0    0     0  8228 13835 21937  1  4 88  7  0  0 2026-09-08 15:10:17
 0  1      0 12804256 742012 893476    0    0     0  8480 13645 21998  1  3 88  7  0  0 2026-09-08 15:10:18
 1  0      0 12803752 742572 893632    0    0     0  8136 13615 21918  1  4 88  7  0  0 2026-09-08 15:10:19
 1  1      0 12802240 743152 893784    0    0     0  7928 13297 21038  1  4 89  7  0  0 2026-09-08 15:10:20
 0  1      0 12800224 743564 893840    0    0     0  8052 13207 21559  1  4 88  7  0  0 2026-09-08 15:10:21
 0  1      0 12799844 744156 894016    0    0     0  7980 13800 21892  1  4 88  7  0  0 2026-09-08 15:10:22
 0  1      0 12799784 744808 894108    0    0     0  8208 13581 21931  1  4 88  7  0  0 2026-09-08 15:10:23
 0  1      0 12797348 745392 894232    0    0     0  8564 13512 21851  1  4 88  7  0  0 2026-09-08 15:10:24
 1  1      0 12798080 746088 894352    0    0     0  7952 13207 21224  1  4 88  7  0  0 2026-09-08 15:10:25
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  1      0 12797900 746524 894480    0    0     0  8132 13186 21129  1  4 87  7  0  0 2026-09-08 15:10:26
 1  0      0 12796468 747176 894664    0    0     0  7636 16268 27228  2  5 87  6  0  0 2026-09-08 15:10:27
 1  0      0 12788440 747244 895016    0    0     0  2936 35592 66313  3  8 87  1  0  0 2026-09-08 15:10:28
 0  0      0 12782364 747400 895076    0    0     0  4152 26887 49068  3  6 88  3  0  0 2026-09-08 15:10:29
 1  0      0 12815404 747604 862720    0    0     0  8236 9696 14406  1  3 93  3  0  0 2026-09-08 15:10:30
 3  2      0 12761872 748236 880972    0    0     0 18252 38301 65859  8 10 75  8  0  0 2026-09-08 15:10:31
 0  1      0 12753600 748876 885892    0    0     0 19904 41535 71762  7 12 72  9  0  0 2026-09-08 15:10:32
 1  0      0 12686884 749532 936824    0    0     0 17024 40571 70059  8 11 72  9  0  0 2026-09-08 15:10:33
 1  2      0 12681616 750188 938668    0    0     0 16336 40605 70316  9 10 72  9  0  0 2026-09-08 15:10:34
 2  2      0 12679652 750852 940396    0    0     0 17276 41644 72094  8 12 71  9  0  0 2026-09-08 15:10:35
 0  1      0 12664692 751488 950536    0    0     0 24192 40350 69671  8 11 73  9  0  0 2026-09-08 15:10:36
 0  2      0 12663200 752144 952068    0    0     0 16124 39129 67794  7 11 73  9  0  0 2026-09-08 15:10:37
 2  2      0 12659932 752768 954716    0    0     0 17468 39917 68913  7 11 73  9  0  0 2026-09-08 15:10:38
 1  1      0 12649056 753460 964948    0    0     0 24804 40203 69401  7 11 73  9  0  0 2026-09-08 15:10:39
 6  0      0 12637292 753984 975908    0    0     4 26480 39972 68866  7 11 74  9  0  0 2026-09-08 15:10:40
 0  1      0 12636328 754456 977292    0    0     0 16176 39872 68411  8 11 72  8  0  0 2026-09-08 15:10:41
 4  1      0 12626804 755064 987116    0    0     0 24748 39895 69116  8 11 72  9  0  0 2026-09-08 15:10:42
 2  2      0 12624740 755636 988496    0    0     0 16564 39664 68417  8 11 73  9  0  0 2026-09-08 15:10:43
 0  1      0 12613936 756284 999592    0    0     0 25904 39343 67741  7 11 73  9  0  0 2026-09-08 15:10:44
 2  0      0 12606480 756904 1001920    0    0     0 17252 39909 68572  8 11 73  9  0  0 2026-09-08 15:10:45
 6  1      0 12601676 757556 1004320    0    0     0 17672 40958 70965  8 10 73  9  0  0 2026-09-08 15:10:46
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 6  1      0 12597192 758204 1007780    0    0     0 18720 40446 69913  9 10 73  9  0  0 2026-09-08 15:10:47
 0  1      0 12593768 758916 1010152    0    0     0 17640 39810 68489  8  9 74  9  0  0 2026-09-08 15:10:48
 2  0      0 12587972 759748 1012576    0    0    16 17636 39696 68361  8 10 73  9  0  0 2026-09-08 15:10:49
 2  1      0 12584692 760488 1015976    0    0     0 18724 41082 71268  8 11 72  9  0  0 2026-09-08 15:10:50
 1  0      0 12582048 761276 1017336    0    0     0 16692 39599 68420  8 11 72  9  0  0 2026-09-08 15:10:51
 3  1      0 12578824 762052 1018588    0    0     0 16492 40182 69302 10 11 71  9  0  0 2026-09-08 15:10:52
 3  2      0 12576304 762804 1019940    0    0     0 17012 40925 70940  8 11 72  9  0  0 2026-09-08 15:10:53
 0  1      0 12575328 763608 1021276    0    0     4 16980 40444 70093  8 11 72  9  0  0 2026-09-08 15:10:54
 3  1      0 12570268 764380 1024604    0    0     0 19080 40748 70289 10 11 71  9  0  0 2026-09-08 15:10:55
 1  1      0 12566760 765032 1025900    0    0     0 16404 40756 70551  9 11 71  9  0  0 2026-09-08 15:10:56
 6  1      0 12560920 765704 1030288    0    0     0 19104 41009 71144 11 12 69  8  0  0 2026-09-08 15:10:57
 0  1      0 12559160 766356 1031568    0    0     0 16028 39297 67690 10 11 71  9  0  0 2026-09-08 15:10:58
 7  1      0 12555888 767052 1032792    0    0     0 16392 41025 70870  9 11 71  9  0  0 2026-09-08 15:10:59
 7  1      0 12552344 767756 1035048    0    0     0 17464 39811 68856  9 10 72  9  0  0 2026-09-08 15:11:00
 1  1      0 12549336 768584 1036380    0    0     0 17732 42500 74058  9 11 71  9  0  0 2026-09-08 15:11:01
 5  1      0 12546064 769432 1037756    0    0     0 17460 40288 69468  9 11 72  9  0  0 2026-09-08 15:11:02
 1  2      0 12541496 770212 1041204    0    0     0 19204 39237 67312  9 11 72  9  0  0 2026-09-08 15:11:03
 0  1      0 12535500 771024 1042484    0    0     0 17132 42187 73213 10 11 70  9  0  0 2026-09-08 15:11:04
 5  1      0 12532048 771768 1043808    0    0    16 16436 37654 64845  8 10 72  9  0  0 2026-09-08 15:11:05
 0  1      0 12527020 772504 1046092    0    0     0 17328 41392 71896 10 12 70  9  0  0 2026-09-08 15:11:06
 2  0      0 12523760 773416 1047352    0    0     0 16720 41144 71181 10 11 70  9  0  0 2026-09-08 15:11:07
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 5  1      0 12515396 774348 1052844    0    0     0 21600 40664 70430 10 11 70  9  0  0 2026-09-08 15:11:08
 2  1      0 12512372 775244 1054156    0    0     0 17888 41616 71840  9 12 70  9  0  0 2026-09-08 15:11:09
 0  1      0 12508580 776200 1056444    0    0     0 18840 40016 69380  9  9 73  9  0  0 2026-09-08 15:11:10
 1  1      0 12504056 777040 1057732    0    0     0 16904 40303 69899  9 10 71  9  0  0 2026-09-08 15:11:11
 3  2      0 12501044 777848 1058996    0    0     0 16976 40356 69912 11 11 69  9  0  0 2026-09-08 15:11:12
 1  1      0 12498044 778716 1060092    0    0     0 17348 42552 73776 11 11 70  9  0  0 2026-09-08 15:11:13
 1  2      0 12492512 779552 1062588    0    0     0 18656 41671 72358  9 12 70  9  0  0 2026-09-08 15:11:14
 0  1      0 12488656 780428 1063884    0    0     0 17836 42323 73442 10 11 70  9  0  0 2026-09-08 15:11:15
 0  2      0 12483392 781188 1066264    0    0     0 18168 40446 70007  9 11 71  9  0  0 2026-09-08 15:11:16
 1  1      0 12478352 782124 1067544    0    0     0 17292 41633 72276 10 10 71  9  0  0 2026-09-08 15:11:17
 2  1      0 12475316 782920 1069924    0    0     0 18740 41111 71094  9 12 70  9  0  0 2026-09-08 15:11:18
 0  1      0 12477584 783828 1071208    0    0    16 17912 41919 72818 10 11 70  9  0  0 2026-09-08 15:11:19
 3  1      0 12559936 784816 1075712    0    0     0 20980 41298 71643  9 10 71  9  0  0 2026-09-08 15:11:20
 2  0      0 12554640 785864 1079132    0    0     0 20164 42112 72963 10 10 70  9  0  0 2026-09-08 15:11:21
 3  1      0 12552612 786888 1081452    0    0     0 18664 40753 70558  9 11 71  9  0  0 2026-09-08 15:11:22
 0  1      0 12550952 787880 1082708    0    0     0 17956 42026 72865 11 10 70  9  0  0 2026-09-08 15:11:23
 0  1      0 12546768 788900 1084060    0    0     0 17876 42333 73267 10 11 71  9  0  0 2026-09-08 15:11:24
 0  1      0 12542420 789844 1087424    0    0     0 19352 40397 69564  9 12 70  9  0  0 2026-09-08 15:11:25
 1  1      0 12541212 790704 1088588    0    0     0 17500 42260 73299 11 12 68  9  0  0 2026-09-08 15:11:26
 4  1      0 12539796 791592 1089876    0    0     0 16900 40337 69252 11 12 67  9  0  0 2026-09-08 15:11:27
 1  2      0 12537800 792604 1091188    0    0     0 17780 42508 73387 10 11 70  9  0  0 2026-09-08 15:11:28
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  1      0 12534000 793580 1094548    0    0     0 19712 41904 72543 10 12 69  9  0  0 2026-09-08 15:11:29
 3  1      0 12523060 794704 1104508    0    0    16 26792 42362 73251 11 11 69  9  0  0 2026-09-08 15:11:30
 5  1      0 12519324 795720 1106828    0    0     0 19232 42000 72673 10 12 69  9  0  0 2026-09-08 15:11:31
 2  1      0 12518320 796788 1108164    0    0     0 17748 41618 71819 10 11 70  9  0  0 2026-09-08 15:11:32
 1  2      0 12514768 797576 1110288    0    0     0 17564 39499 67983 10 12 69  9  0  0 2026-09-08 15:11:33
 5  0      0 12512520 798272 1111364    0    0     0 15056 37213 64609 13 14 62 10  0  0 2026-09-08 15:11:34
 6  1      0 12508676 799300 1112640    0    0     0 17520 42010 72600 10 12 69  9  0  0 2026-09-08 15:11:35
 0  1      0 12506328 800164 1113864    0    0     0 17252 42285 73144 12 12 68  9  0  0 2026-09-08 15:11:36
 2  1      0 12495796 801084 1123240    0    0  8192 16884 40875 70295 12 12 68  9  0  0 2026-09-08 15:11:37
 2  1      0 12492080 801860 1124380    0    0     0 16156 38376 66296 11 11 68 10  0  0 2026-09-08 15:11:38
 5  1      0 12489520 802644 1126524    0    0     0 18468 41387 71262 12 12 67  8  0  0 2026-09-08 15:11:39
 3  1      0 12487852 803524 1127768    0    0     0 18208 41644 71794 11 12 68  9  0  0 2026-09-08 15:11:40
 2  0      0 12484696 804400 1130088    0    0     0 18976 41549 71771 10 12 69  9  0  0 2026-09-08 15:11:41
 4  1      0 12481656 805268 1132288    0    0     0 17696 39091 67193 11 12 68  9  0  0 2026-09-08 15:11:42
 1  1      0 12478936 805964 1134344    0    0     0 16792 38053 65531 15 15 61  9  0  0 2026-09-08 15:11:43
 0  1      0 12476272 806792 1136448    0    0     0 17656 40326 69425 14 12 65  9  0  0 2026-09-08 15:11:44
 1  1      0 12473004 807652 1137344    0    0     0 16544 39770 68383 13 11 67  9  0  0 2026-09-08 15:11:45
 1  2      0 12470516 808408 1138780    0    0     0 16960 40104 68748 14 11 67  9  0  0 2026-09-08 15:11:46
 0  1      0 12467688 809052 1140744    0    0     0 14852 32713 56123 14 14 63  9  0  0 2026-09-08 15:11:47
 3  1      0 12466388 809976 1141772    0    0     0 16168 40498 70180 14 13 65  9  0  0 2026-09-08 15:11:48
 2  1      0 12461828 810932 1144984    0    0     0 18492 37212 64755 13 11 67  9  0  0 2026-09-08 15:11:49
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  1      0 12459568 811888 1146032    0    0     0 17184 41437 71535 12 12 68  9  0  0 2026-09-08 15:11:50
 3  1      0 12456888 812768 1148384    0    0     0 18084 40796 70172 12 13 67  9  0  0 2026-09-08 15:11:51
 5  1      0 12454944 813632 1149524    0    0     0 16884 40469 69757 12 12 67  9  0  0 2026-09-08 15:11:52
 6  1      0 12452520 814484 1150612    0    0     0 16420 39732 68260 14 13 65  9  0  0 2026-09-08 15:11:53
 6  1      0 12448440 815456 1152740    0    0     0 18156 41005 70357 13 13 66  9  0  0 2026-09-08 15:11:54
 3  1      0 12445608 816464 1154904    0    0     0 18168 39715 67950 12 11 67  9  0  0 2026-09-08 15:11:55
 1  1      0 12443404 817292 1155932    0    0     0 16200 37688 64735 14 13 65  9  0  0 2026-09-08 15:11:56
 7  1      0 12439344 817748 1157752    0    0     0 12844 28163 48796 14 13 64  9  0  0 2026-09-08 15:11:57
 4  1      0 12437508 818272 1158664    0    0     0 13044 33470 59224 17 15 59  9  0  0 2026-09-08 15:11:58
 6  1      0 12432836 818768 1161704    0    0     0 15160 31685 54670 17 16 59  8  0  0 2026-09-08 15:11:59
 7  0      0 12427968 819144 1165460    0    0     0 15096 29332 50471 15 14 62  9  0  0 2026-09-08 15:12:00
 5  1      0 12422292 819648 1168532    0    0     0 15204 33611 58400 18 16 58  8  0  0 2026-09-08 15:12:01
 8  1      0 12418456 820464 1170660    0    0    16 16380 38880 67027 15 13 63  9  0  0 2026-09-08 15:12:02
 8  1      0 12417984 821268 1171712    0    0     0 16164 39301 67279 15 12 65  8  0  0 2026-09-08 15:12:03
 4  1      0 12417864 821932 1172684    0    0     4 13892 35922 61650 15 13 63  9  0  0 2026-09-08 15:12:04
 3  2      0 12417196 822308 1173376    0    0     0 11856 28602 48677 16 13 61 11  0  0 2026-09-08 15:12:05
 1  2      0 12415824 822460 1173928    0    0     0  6144 21038 35766 12  9 70 10  0  0 2026-09-08 15:12:06
 8  1      0 12413848 822776 1174612    0    0     0 10588 26060 46341 15 13 63 10  0  0 2026-09-08 15:12:07
 1  1      0 12411856 823204 1176336    0    0     0 14040 28206 50986 17 14 60  9  0  0 2026-09-08 15:12:08
 6  1      0 12409068 823560 1178236    0    0     0  9312 25583 45411 16 11 64  9  0  0 2026-09-08 15:12:09
 1  1      0 12405380 823904 1180992    0    0     0 12220 28590 50068 15 14 61 10  0  0 2026-09-08 15:12:10
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
11  2      0 12401808 824364 1185204    0    0     0 16208 32875 60518 18 16 57  9  0  0 2026-09-08 15:12:11
 3  1      0 12402032 824696 1185700    0    0     0  8968 22479 38995 14 12 63 10  0  0 2026-09-08 15:12:12
 2  1      0 12399172 825020 1186476    0    0     0 10896 27505 48930 16 11 63 10  0  0 2026-09-08 15:12:13
